distribution,sse,aic,bic,params
gausshyper,0.21298832026369094,2796.391053271279,2822.454335876037,"(4.982938168739979, 27.98016839481475, 3.982790374638262, 3.57712567823992, 6.21678804461387, 65.61864128574896)"
gumbel_r,0.1817255254119564,2954.531821289411,2963.2195821576634,"(12.52933598554579, 2.750458276880924)"
kstwobign,0.19114034228119667,2956.3800103003155,2965.067771168568,"(2.4772526834559416, 13.435415462876742)"
exponnorm,0.16890606543645836,2954.4153404266376,2967.4469817290164,"(2.1139359451826367, 10.79050381178443, 1.578462112047934)"
skewnorm,0.18842164631726582,2955.8535521861613,2968.88519348854,"(4.068357927929909, 9.96175853043738, 5.454237137576646)"
invweibull,0.18153709442517138,2956.5275268957616,2969.5591681981405,"(493.723485151193, -1344.5866956828895, 1357.1130879450366)"
genextreme,0.18153700816362406,2956.5275270622956,2969.5591683646744,"(-0.0020331937857466873, 12.52641922554831, 2.748737757850742)"
frechet_l,0.18172862979719961,2956.5318221842367,2969.5634634866155,"(32310587.27708838, 88871942.46048762, 88871929.93109035)"
weibull_max,0.18172862979719961,2956.5318221842367,2969.5634634866155,"(32310587.27708838, 88871942.46048762, 88871929.93109035)"
genlogistic,0.18177925650841653,2956.5605111119958,2969.5921524143746,"(199.67141498407295, -1.9850901917816772, 2.742345821239061)"
invgamma,0.18320395231679876,2957.7713395940486,2970.8029808964275,"(14.96081398329185, 1.2987660296226662, 179.1291517147949)"
lognorm,0.1853004233824476,2957.824833560785,2970.856474863164,"(0.3411670333611477, 4.067737189292493, 9.490709944326486)"
invgauss,0.18704483130213365,2957.883177922232,2970.9148192246107,"(0.11413021717565025, 3.729292454342914, 91.10645264650242)"
fatiguelife,0.18744152636139225,2957.9903984923476,2971.0220397947264,"(0.33705334860038605, 3.8322840330679773, 9.741743013115961)"
recipinvgauss,0.18769753819063484,2958.0857307151364,2971.117372017515,"(0.12027208012662613, 3.95784228823545, 1.0917895508914213)"
alpha,0.18186919995924927,2958.8900808194794,2971.9217221218582,"(5.832042096898295, -4.790418167140793, 106.90324237624563)"
moyal,0.1828048241684029,2964.35836506374,2973.0461259319927,"(11.975108455770563, 1.7856634228767838)"
gamma,0.19336532738632173,2960.8169179390443,2973.848559241423,"(5.252232022713325, 6.175162625863668, 1.5140473798580563)"
erlang,0.19336588314002942,2960.8169179497236,2973.8485592521024,"(5.252294368028675, 6.175116474289705, 1.51404106915907)"
pearson3,0.19336566805535765,2960.8169179823544,2973.8485592847333,"(0.8726704680754525, 14.127306804909308, 3.4698385545042782)"
exponweib,0.18183701814991532,2958.5481385977973,2975.9236603343024,"(42.9621845795817, 1.0198499771070537, 1.7881240466527264, 2.9187983315261032)"
johnsonsu,0.17970435279595875,2958.848060867079,2976.223582603584,"(-3.0080999154124513, 2.3084745153176804, 7.241692015255776, 3.6803050986059795)"
powerlognorm,0.1860047621411752,2959.7678188842992,2977.1433406208043,"(0.20531043479658106, 0.13627744900177258, -0.07990246721672079, 10.649343304944672)"
f,0.18320442639445267,2959.771387262763,2977.146908999268,"(1837.0353939275183, 29.92367425299753, 1.3947012094668332, 11.883757214802952)"
johnsonsb,0.18605344940818935,2959.833029214811,2977.2085509513163,"(8.868456871954542, 2.72845518275723, 4.342679385839373, 247.0937146435383)"
nct,0.1820031326957675,2959.957598163214,2977.333119899719,"(11.088350019407418, 13.832600217668887, -0.2657397276822977, 0.9684318847684728)"
fisk,0.17466592600826097,2965.1735122013115,2978.2051535036903,"(4.416619896481496, 5.350511124658883, 8.120134496745418)"
gengamma,0.1894804318472747,2961.2073856324414,2978.5829073689465,"(10.90411267013156, 0.7240557331787651, 5.7906162600218245, 0.2999227610027754)"
ncx2,0.19336528941250647,2962.8169179350043,2980.1924396715094,"(10.504523352399076, 3.979134682222446e-05, 6.175150281649078, 0.7570176333855434)"
beta,0.19337384796639795,2962.8197177992015,2980.1952395357066,"(5.250946652630802, 31681.971540166232, 6.175477404020517, 47986.57812196006)"
mielke,0.17291565882797189,2964.0273978893183,2981.4029196258234,"(13.508474252196038, 6.100248784236005, -0.07568219573122767, 11.478172056742803)"
burr,0.1729157397867039,2964.031910716303,2981.4074324528083,"(6.097168784262283, 2.2117421688165932, -0.06592946343304859, 11.47161131830026)"
betaprime,0.1924897399537326,2964.319788666394,2981.695310402899,"(107.04873638770742, 23.935554713212756, -0.591091633871736, 3.1492855432522537)"
norminvgauss,0.19945077954343274,2968.471244561887,2985.846766298392,"(277.19920501183753, 276.7002865742711, 0.21786674079329582, 0.8350931578875556)"
burr12,0.1694398242227051,2968.708525060706,2986.084046797211,"(9.696436021750475, 0.5594531693377081, -0.16808811456360478, 12.37232782259397)"
powernorm,,2974.9680919323123,2987.999733234691,"(0.009168029665856132, 7.984565274395925, 0.4867508004879323)"
maxwell,0.22225480982598766,2980.974561401312,2989.6623222695644,"(6.292390538366567, 4.95922036443393)"
chi,0.21893798885434687,2979.332532473559,2992.3641737759376,"(2.5114645299675282, 6.787364991480371, 5.136887777891418)"
ncf,0.20244190417053942,2975.631217238584,2997.350619409216,"(34.139639235614666, 99.47170138923465, 62.95199770473849, -0.29036611158893955, 4.919850413779173)"
rayleigh,0.231069736384804,2989.914430242435,2998.6021911106877,"(6.939533256106137, 5.659513211100506)"
rice,0.23107054792202414,2991.9144301493584,3004.946071451737,"(0.001453538196763305, 6.939536754496967, 5.659542876862645)"
loglaplace,0.20639004483388346,3008.004194696624,3021.0358359990028,"(5.362437960341303, -0.06904255944673487, 13.439040063169791)"
hypsecant,0.22188891062213667,3038.779541782802,3047.4673026510545,"(13.585341999187058, 2.292917373737546)"
logistic,0.23848112763122087,3038.960744963497,3047.6485058317494,"(13.765924113699654, 1.9452785119978837)"
vonmises_line,0.24392683282396493,3037.226722748994,3050.2583640513726,"(2.383485624899314, 13.818319730715501, 4.549183125564417)"
foldnorm,0.27491246835610794,3039.281122018124,3052.3127633205027,"(1.9504426434702273, 6.980999946400294, 3.6346840912967284)"
gennorm,0.22453050638380603,3040.21948339358,3053.251124695959,"(1.3270282607093415, 13.601472839809418, 3.680603588346565)"
dweibull,0.22035386068505247,3040.3900225049333,3053.421663807312,"(1.1146165617752661, 13.550426137965449, 2.7783386250725615)"
dgamma,0.20024198795135328,3040.462364776602,3053.494006078981,"(1.1665977152973261, 13.353525376832042, 2.285105274184173)"
tukeylambda,0.23562471040934396,3040.859950230805,3053.891591533184,"(-0.015915748757552507, 13.734486718578239, 1.9009218726773613)"
t,0.24164316355889895,3041.4144901359323,3054.446131438311,"(7.505307571464952, 13.797624999952728, 3.0377856285826548)"
laplace,0.21792308620932452,3046.5858619421433,3055.273622810396,"(13.370000723983468, 2.6657551249886238)"
norm,0.27059901977125816,3051.187992075232,3059.8757529434847,"(14.127291739894552, 3.520950760711062)"
geninvgauss,0.27451824785675877,3048.915236617151,3066.290758353656,"(2.5147456768768253, 4.808032650430106e-07, 6.707869108428604, 7.094387731665651e-07)"
rdist,0.2701381205301578,3053.3272647241565,3066.3589060265354,"(1747.2593851896945, 14.120091712271893, 147.27711469366022)"
loggamma,0.27258866259120196,3057.684214841234,3070.7158561436127,"(1613.0497246342848, -1035.3054004111782, 142.0900276134903)"
crystalball,0.27059905988832444,3055.1879920752763,3072.5635138117814,"(744.6797977322296, 32.05866621409076, 14.127292399399726, 3.520950244339064)"
triang,0.2858029036915493,3066.9363397933935,3079.9679810957723,"(0.21484796724197358, 6.89718639148648, 21.28391041716865)"
genexpon,0.27882224595795646,3059.2833210884282,3081.00272325906,"(1.019853474395366e-10, 2.0214745708835125, 0.28675778414632414, 6.220519213641622, 4.229111789168719)"
foldcauchy,0.19687750230707646,3073.6856902560894,3086.7173315584682,"(3.18861841412192, 6.980999996069572, 1.9035905757982468)"
gompertz,0.33360465398400896,3095.712786480787,3108.744427783166,"(0.31590637117425246, 6.980999999569605, 5.8973679369354635)"
kappa3,0.3881788897369389,3129.4603812983296,3142.4920226007084,"(6.966403531824785, 6.980997502564803, 9.265394388661615)"
cauchy,0.2081507356069477,3157.236659093821,3165.9244199620734,"(13.09257138119442, 1.783683803161942)"
cosine,0.3907143286038257,3188.8522854848998,3197.5400463531523,"(15.379817001291965, 4.085563243296795)"
halfnorm,0.4629911134991502,3191.592722285211,3200.2804831534636,"(6.980999996285835, 7.966667529232588)"
genpareto,0.4801174689334115,3214.73995766234,3227.771598964719,"(-0.45853694519591726, 6.980999898504365, 9.744655736785319)"
halflogistic,0.4916388772805993,3238.975529036331,3247.6632899045835,"(6.980999996114137, 4.8298379254187065)"
wald,0.3917412583151853,3257.8770040471218,3266.5647649153743,"(6.708299465443636, 9.847101311150736)"
kappa4,0.5458395268536785,3255.7942335545913,3273.1697552910964,"(1.1217565678731805, 0.494848546547934, 5.736338733210035, 11.143832559780083)"
gumbel_l,0.39866627174551933,3292.5140425803793,3301.201803448632,"(16.02319410660248, 4.224771622731985)"
anglit,0.47385470926500883,3295.452857816999,3304.1406186852514,"(16.42215315932609, 14.928444269902982)"
gilbrat,0.4445123271331951,3323.0252416262874,3331.71300249454,"(6.927917194581482, 6.330698465714957)"
truncexpon,0.5127296367656268,3327.701105770616,3340.7327470729947,"(1.1532063545312923, 6.980999209736623, 18.32196724020097)"
semicircular,0.5387806373045438,3369.8888416416976,3378.57660250995,"(17.47533473226921, 10.65128279770563)"
bradford,0.5437502301090773,3367.270642196435,3380.3022834988137,"(2.0911179363984713, 6.931907328045174, 21.178092672388175)"
expon,0.6345174460628744,3379.983499035636,3388.6712599038888,"(6.981, 7.1462917398945525)"
lomax,0.637513987176523,3385.40596746924,3398.4376087716187,"(125.97520652889793, 6.98099999999836, 895.9039632285603)"
chi2,0.5979830408650979,3416.0512524685137,3429.0828937708925,"(1.919850398497207, 6.980999999999999, 4.430538571273648)"
uniform,0.6083363784497039,3475.6357220429145,3484.323482911167,"(6.981, 21.128999999999998)"
ksone,0.6083363784497091,3477.635845298899,3490.6674866012777,"(1.1268943048197415, 6.980998209824076, 21.129002288467348)"
powerlaw,0.5990327924467156,3565.8614370767673,3578.893078379146,"(0.9252029073149901, 5.299606872300219, 22.8103931388155)"
halfcauchy,0.7095478597761604,3574.2575621611495,3582.945323029402,"(6.98099980759997, 4.844386649139956)"
argus,0.704094707327636,3594.9299369016508,3607.9615782040296,"(6.977982803168064e-05, 4.912752714025281, 23.210796893048453)"
genhalflogistic,0.7405065908269348,3640.9641435595486,3653.9957848619274,"(0.8119877629729166, 6.9809999172583685, 17.16066085868099)"
